,ASG002_BC3C_24H:A10,ASG002_BC3C_24H:A11,ASG002_BC3C_24H:A19,ASG002_BC3C_24H:A20,ASG002_BC3C_24H:A21,ASG002_BC3C_24H:B10,ASG002_BC3C_24H:B11,ASG002_BC3C_24H:B12,ASG002_BC3C_24H:B14,ASG002_BC3C_24H:B15,ASG002_BC3C_24H:C16,ASG002_BC3C_24H:C17,ASG002_BC3C_24H:C18,ASG002_BC3C_24H:E19,ASG002_BC3C_24H:E20,ASG002_BC3C_24H:E21,ASG002_BC3C_24H:E22,ASG002_BC3C_24H:E23,ASG002_BC3C_24H:E24,ASG002_BC3C_24H:F01,ASG002_BC3C_24H:F02,ASG002_BC3C_24H:F03,ASG002_BC3C_24H:F04,ASG002_BC3C_24H:F05,ASG002_BC3C_24H:F06,ASG002_BC3C_24H:F13,ASG002_BC3C_24H:F14,ASG002_BC3C_24H:F15,ASG002_BC3C_24H:F16,ASG002_BC3C_24H:F17,ASG002_BC3C_24H:F18,ASG002_BC3C_24H:G01,ASG002_BC3C_24H:G02,ASG002_BC3C_24H:G03,ASG002_BC3C_24H:H16,ASG002_BC3C_24H:H17,ASG002_BC3C_24H:H18,ASG002_BC3C_24H:I05,ASG002_BC3C_24H:I06,ASG002_BC3C_24H:I13,ASG002_BC3C_24H:I14,ASG002_BC3C_24H:I15,ASG002_BC3C_24H:I19,ASG002_BC3C_24H:I20,ASG002_BC3C_24H:I21,ASG002_BC3C_24H:L01,ASG002_BC3C_24H:L02,ASG002_BC3C_24H:L03,ASG002_BC3C_24H:L07,ASG002_BC3C_24H:L08,ASG002_BC3C_24H:L09,ASG002_BC3C_24H:L16,ASG002_BC3C_24H:L17,ASG002_BC3C_24H:L18,ASG002_BC3C_24H:M22,ASG002_BC3C_24H:M23,ASG002_BC3C_24H:M24,ASG002_BC3C_24H:N13,ASG002_BC3C_24H:N14,ASG002_BC3C_24H:N15,ASG002_BC3C_24H:N19,ASG002_BC3C_24H:N20,ASG002_BC3C_24H:N21,ASG002_BC3C_24H:N22,ASG002_BC3C_24H:N23,ASG002_BC3C_24H:N24,ASG002_BC3C_24H:O10,ASG002_BC3C_24H:O11,ASG002_BC3C_24H:O12,ASG002_BC3C_24H:O22,ASG002_BC3C_24H:O23,ASG002_BC3C_24H:O24,ASG002_BC3C_24H:P07,ASG002_BC3C_24H:P08,ASG002_BC3C_24H:P09,ASG002_BC3C_24H:P20,ASG002_BC3C_24H:P21,MOAR008_BC3C_24H:L01,MOAR008_BC3C_24H:L02,MOAR008_BC3C_24H:L03,MOAR010_BC3C_24H:A13,MOAR010_BC3C_24H:A14,MOAR010_BC3C_24H:A15,MOAR010_BC3C_24H:D01,MOAR010_BC3C_24H:D02,MOAR010_BC3C_24H:D03,MOAR010_BC3C_24H:K07,MOAR010_BC3C_24H:K08,MOAR010_BC3C_24H:K09,MOAR010_BC3C_24H:L19,MOAR010_BC3C_24H:L20,MOAR010_BC3C_24H:L21,MOAR011_BC3C_24H:C01,MOAR011_BC3C_24H:C02,MOAR011_BC3C_24H:C03,MOAR011_BC3C_24H:C10,MOAR011_BC3C_24H:C11,MOAR011_BC3C_24H:J10
AARS,-0.4968541218684273,0.2884461329533501,0.1897465632512016,-0.01645403641920851,0.0807463572575493,0.2823464320256157,0.3262459681584282,0.2449461863591118,0.3030459330632134,0.3875462458683891,0.3468462870671196,-0.4979537083552437,0.09394616347092821,0.2352463648869438,0.1061465190007134,0.1731964991642876,0.1270462916447563,0.09484643202561571,-0.164453799907978,-0.3710539891169624,-0.137354190532978,0.0807463572575493,-0.05310374039870069,0.261545841510479,0.03794640761155321,1.67484635573167,0.3653466151310845,0.3189465449406548,1.944245998676006,0.3045460627629204,0.4659459040715141,-1.568053538982685,-0.2996543003962593,-0.02125387925368116,1.828646366412823,0.9515463755680962,0.2633969233586235,-0.1195538594172554,0.2116457865788384,1.109745685870831,0.2754465983464165,0.2844464228703423,-0.9198535038874702,1.960146610553448,0.2290465281559868,-0.8887541844294624,-0.3886540486262398,-0.1628535344050484,-1.147854144756611,-0.5976031376765327,-0.02305346268873976,0.2627465174748345,0.1245457575871391,-0.07565432328444288,-0.03755408066969679,0.0218464778019829,-0.1195538594172554,-0.03580313462477491,0.01394623976487352,-0.06805353898268507,1.173346226031963,0.2720457957341118,0.1935460017277641,1.746446316058819,0.3984457896305962,0.03179616194504931,0.2290465281559868,-0.2816536976740913,-0.04385405320387648,-0.1494544102595405,-0.3487542225764351,-0.419754321758564,-1.899954135601337,-0.798604304973896,-0.3446534230158882,0.1825463221623345,0.01194638472336962,0.1542501449584961,0.30157470703125,-0.05974960327148438,0.2181818825857977,0.2151816231863837,0.2243826729910712,-0.6388175146920343,-0.8881432669503351,-0.7035176413399835,1.393331800188337,0.1065314156668524,-0.2176177161080499,-0.07426806858607726,-0.01231738499232726,-0.004017557416643669,0.2150998115539551,-0.1781001091003418,-0.007000446319580078,0.02399969100952148,0.007400035858154297,0.03139925003051758
ABCB6,-0.6585961855374851,-0.1421958483182468,-0.07539668449988746,-0.3837958849393406,-0.1999961412869968,-0.0741969622098484,0.1088036023653469,0.05520424476036645,-0.3991958178006687,-0.2274962938748875,-0.5179959810697117,-0.2109462297879734,-0.1881953752957859,-0.7670966661893406,-0.219546464773325,-0.08099570641150855,-0.07914653191199683,0.1112535916841946,-0.06169619927039527,-0.2197963274442234,-0.2650958574735203,-0.1599961794339695,-2.108397153707651,-0.02489581474891089,-0.04424586662879371,-0.1867457903348484,-0.3096963442288914,-0.1350957430326023,-0.07299628624549293,-0.06049647698035621,0.2411039792574368,-0.8361960924588718,-0.3664962328397312,-0.2851964510404148,0.2613037549532375,0.1595543347872219,0.06070408454308129,-0.3777457750760593,0.1126039945162258,0.124804350046011,0.3086040936983547,0.02360424628624536,-2.018196252676157,0.007003637460561762,0.0822037183321438,0.3086040936983547,-0.2874957598172703,-0.3388959444486179,-0.5247956789456882,-0.5362464464627781,-0.2619964159452,0.1535042249239407,0.2072037183321438,-0.4077960527860203,-0.05969634422889136,-0.2717963732205906,-0.0118962801419773,-1.152396348806528,-0.5764962709867039,-0.4912959612332859,-0.9966956652127781,-0.1671964205228367,-0.1248961962186375,-1.133296159597544,0.1681040250338039,0.4273537122286282,-0.4575959719144382,-0.1930963076077976,-0.2644959963285007,-0.3026963747464695,-0.372296480032114,-0.01399627098670386,0.007404180673452387,-0.2186957872830906,-0.5732957399808445,0.2689035855806789,-0.6693965471707859,-0.3040757179260254,-0.1689505577087402,0.3701491355895996,0.08415201732090516,-0.1119978087288995,0.3746526581900458,-0.6773984091622491,-0.782848085675921,-0.9643981116158624,-0.72962304524013,0.2252014023917059,0.2028520447867255,-0.003797735486712028,-0.6613232748849054,0.3265016419546942,0.1278500556945801,0.08114957809448242,-0.02685022354125977,-0.1528506278991699,0.1225495338439941,-0.02934980392456055
ABCC5,-0.08020378993107702,0.2319962794964132,-0.3293535892780008,-0.2252037708575907,0.278445940751296,0.03469632222102259,0.3965961749737081,0.2887461002056417,-0.2557037060077372,-0.254153985243577,-0.07870366023136999,0.03479598118708704,-0.09040381358220007,0.1226961429302511,-0.1102535908038798,-0.3483040516193094,0.06689618184016322,-0.1802036945636454,0.06149647786067103,0.1948458965008077,-0.3274038021381083,-0.09340359614445592,-0.8410542194659891,0.01749632908747767,0.3012959773723898,-0.1905038540179911,-0.08140398905827428,0.01519606663630579,0.2738959605877218,0.2426965053264913,0.1477963741009054,-0.3374540989215555,0.07279608799861048,-0.2981035892780008,-0.100404042464036,0.06244633747981165,-0.08020378993107702,-0.065003651839036,2.245196085709792,0.3838460262005148,0.01619599415705775,0.2597963626568136,-0.2693035785968485,0.1013963039104757,0.2493960673992452,-0.4666540806110087,0.006296377915602669,-0.3951037113483133,-0.6114037220294657,-0.5786040012653055,-0.1605036442096415,0.3103964145366964,0.2510959918682394,0.05644581868098353,0.3458959872906027,-0.08635355876042272,0.3075463588421163,-0.049103993635911,0.001396399277907356,-0.2813036625201883,-0.3169038479144755,-0.196503895979661,-0.1862042133624735,-0.2957537357623758,0.2755963618938742,0.5357963855449972,-0.2216036503131571,-0.3632037823016825,-0.2217538540179911,-0.3575537388141337,-0.1109039966876688,1.899696093339187,-0.09080340312077428,0.3702962215130148,0.2428462321941671,-0.4359038059528055,0.09159634663508509,-0.1276247501373291,-0.1948254108428955,-0.06929993629455566,-0.3609568732125421,-0.1414072172982355,0.08334282466343446,-0.3940074103219171,0.07759312220982117,0.02594307490757508,-0.3880822317940851,0.01079300471714539,0.01149300166538758,0.1870425088065009,-0.05135699680873351,0.3589427811758856,0.1974997520446777,0.1193499565124512,0.2124500274658203,-0.1772499084472656,0.1386499404907227,0.5689496994018555
ABCF1,0.2025346755981445,0.6023349761962891,0.4033346176147461,0.3131341934204102,-0.08326530456542969,-0.05636501312255859,-0.3872156143188477,0.1045341491699219,0.09723472595214844,0.5406341552734375,0.1342344284057617,0.2282342910766602,0.3465347290039062,-0.40716552734375,-0.05406570434570312,1.131834983825684,-0.06366539001464844,0.2330341339111328,0.2012348175048828,-0.03346538543701172,0.07583427429199219,-0.2203655242919922,1.08653450012207,-0.06766510009765625,0.2747344970703125,0.6254348754882812,-0.1366653442382812,-0.0395660400390625,-0.2904148101806641,0.4340839385986328,0.007334709167480469,0.9918346405029297,0.08683490753173828,0.2762346267700195,-0.4129657745361328,-0.131464958190918,-0.09166526794433594,-0.378265380859375,0.2598342895507812,-0.2823657989501953,-0.3877658843994141,-0.5273656845092773,1.109234809875488,-0.2626657485961914,-0.288665771484375,-0.1376152038574219,0.4274349212646484,0.1928844451904297,0.1498346328735352,0.3465347290039062,0.01153469085693359,-0.3807649612426758,-0.4037656784057617,0.004934310913085938,-0.2466650009155273,-0.5777654647827148,-0.1366653442382812,1.714834213256836,-0.1017656326293945,-0.1876649856567383,2.117634773254395,0.3264341354370117,0.03923416137695312,0.9830341339111328,-0.2424650192260742,0.1972341537475586,-0.07301521301269531,0.01863479614257812,-0.02486515045166016,-0.08326530456542969,0.01693439483642578,0.1342344284057617,0.5189847946166992,-0.4817657470703125,-0.1371650695800781,0.5788345336914062,0.008434295654296875,-1.180562496185303,0.1837372779846191,0.6844878196716309,-0.0813386099679132,0.1151602608816962,-1.130589212690081,1.134060178484235,-0.1786896841866632,-0.2750394003731866,0.2313607079642157,-0.2880398886544366,-0.4584386008126398,1.132360730852399,-0.5559899466378351,-0.5566889899117609,-0.03682470321655273,-0.08032464981079102,0.05917501449584961,0.3071751594543457,0.5800747871398926,0.3228754997253418
ABCF3,-0.5209191395686226,-0.1928189351008491,0.001031582172100087,-0.09641867417555616,0.2108809397770806,-0.7311184956477241,0.09538144331711962,0.04993123274583056,0.3134810374333306,-0.07801848191481398,0.09598130446213915,0.3091809199406548,-0.06601935166579054,-0.03411894578200148,0.3347813532902641,0.1917817042424126,0.4032809184147759,-0.01741915482741163,0.351180736835186,-0.07861929673414991,-1.136019046490009,-0.3274186207697944,-2.711718852703388,0.1052805827214165,-0.2020686222956734,0.1429812357975884,0.1314808772160454,-0.266718204204853,0.3624808238102837,0.02398080092210009,0.1043812678410454,-3.086418922130878,0.08693093519944384,-0.1116192891047554,-0.6249192311213569,0.3820311472966118,0.1254813120915337,-0.1536686970637398,-0.2763693882868843,0.1391808436467095,0.05933160048264696,0.1220814631535454,-1.891818816845234,-0.182118709270771,0.3439814494206352,0.788981144244854,-0.2593186451838569,-0.1560185505793648,-0.7771685673640327,-0.2381194188044624,-0.2840693547175484,0.2970807002140923,0.2858807490422173,-0.05361872452956007,0.4057814524723931,0.1681811259343071,0.3766810343815727,0.4910809443547173,0.1543805049015923,-0.02341871995192335,-0.03381949204664991,-0.05021887559157179,-0.1024191929743843,-0.2843192173884468,0.1687809870793266,0.3069807932927056,-0.09891920823317335,0.04778069716233446,-0.1011193348811226,-0.1495688511775093,0.162180607135479,-1.793818767254169,0.2263810084416313,0.8034808085514946,0.3171812937809868,0.8568808482243462,0.1880814478947563,0.2666492462158203,0.04584980010986328,-0.311650276184082,-0.1783176830836712,-0.3315178326198041,0.4041312762669147,0.2639316150120319,-0.8402177265712201,-1.171093123299736,0.1192325183323444,0.008181912558418603,0.2014316150120319,-0.02856792722429624,0.4479821750095905,0.6105817386082233,-0.3782505989074707,0.003949642181396484,0.1272997856140137,-0.1974005699157715,-0.1283507347106934,-0.01285028457641602
ABHD4,-0.2517232161301841,-0.01752273853008646,-0.2026232939500083,-0.02372352893535989,-0.1784228544968833,-0.2455233793992271,0.06107719127948386,-0.1836232405442466,-0.2671231489915122,1.256727291987492,-0.1674231749314536,-0.3970727186936607,-0.2291230421799888,-0.9835728865403404,0.06937701885516745,-0.2545232039231529,0.04157741253192526,0.04867656414325339,1.107876851008488,-0.258422778202938,-0.3895234328049888,-0.3682231169480552,-0.1923226576585044,-0.2982730131882896,-0.6649226408738365,-0.4309729796189536,-0.3524226408738365,-0.04947368915264505,0.4138766068678628,0.5455771226149331,1.186177327082707,-1.016622946812557,-0.1805228453416099,-0.4140729170579185,1.740077092097355,1.504676892207218,1.709476544306828,-0.5094231825608482,-0.02062313373272318,1.20077712719257,0.5663767594557534,0.3253765839796792,-2.029123232914852,2.214226796076847,0.0385771531325112,0.6812773484450112,0.08467681591327292,-0.4150227766770591,-0.3828229170579185,-0.2317227583665122,-0.2370232802170982,1.280476643488957,0.5919771928053628,-0.2352227431077232,0.3434773225050698,0.05062778179462057,1.199477269099308,-0.6599234801072349,-0.3137234907883872,-0.3202733259934654,1.805377079890324,0.8452769059401284,1.486776425288273,1.823876454279972,1.036076619074894,0.3384772080641518,0.1720772523146401,-0.2007226210374107,-0.01042263324444193,-0.2337235670823326,0.09687717144305807,1.026577069209171,-1.106573031498836,0.4652767914992104,-0.5081233244675865,0.5350771683913003,-0.1590232115525474,-0.0503997802734375,-0.2340507507324219,-0.1860504150390625,0.9902841704232355,0.6826345579964777,0.6901342528206964,-1.260065828050886,-0.9120662552969794,0.6459848540169855,-0.2702653748648505,0.6166345732552667,0.7897340910775323,0.6036836760384698,0.5609838621956964,0.6007349150521417,-0.1206502914428711,-0.174250602722168,0.2655496597290039,-0.3913507461547852,-0.2551498413085938,0.02225017547607422
ABHD6,-0.1167964201707106,-0.354496405674861,-0.0111955862778883,0.2378540772658129,0.1615038651686449,0.06020362560565662,-0.08329622562115002,-0.1709961157578688,-0.214646266056941,-0.09899608905498791,-0.6416963797349196,-0.2197465163010817,-0.2323960524338942,0.2902537125807543,-0.1698960524338942,-0.123546526982234,-0.04799549396221447,-0.04139606769268322,0.03160340969379138,-0.2998456221360426,-0.1638464194077711,-0.1680964689988356,0.01950366680438709,0.06500346844012928,0.01830442135150623,-0.4123963576096754,-0.1238965254563551,0.04635293667133045,-0.1406964522141676,-0.2852958899277906,-0.114696429325984,0.100203587458684,-0.1753963690537672,-0.463995860173152,-0.1895961027878981,-0.2407960158128004,-0.2051963072556715,-0.2301964026231031,-0.1238965254563551,0.113704277918889,-0.2585963469285231,-0.007796214177058225,0.2944036263685961,0.01910360042865467,0.08090360348041248,0.4549041527968187,0.02230365459735584,-0.1071962576646071,4.342904164240911,-0.468296454502986,-0.1977962713975172,-0.001896308018610959,0.02070386593158435,-0.2086462240952711,-0.1807460051316481,-0.02004616077129651,-0.2303961973923903,3.687903477595403,-0.01069633777324963,-0.1074957113999586,0.3527036446791429,-0.1913460951585035,-0.1553963881272535,0.305403782771184,-0.2285961371201735,0.06600387279803943,0.1928540009718676,-0.1021961432236891,0.1404038209181566,-0.1817964773911696,0.05275352184589099,-0.2484959822434645,0.1855040330153246,0.1073032159071703,-0.2397960882920485,-0.3394960623521071,0.01815374080951404,0.05602526664733887,0.1281750202178955,0.1380751132965088,-0.2365430082593649,-0.1801675047193259,-0.08321792738778289,-0.4825680937085837,-0.5250676359449118,-0.6799181188855856,-0.2569678510938376,-0.3286174024854391,-0.4911177839551657,-0.3284180845533102,-0.4579675878797262,-0.3295176710401266,0.2028000354766846,0.05999970436096191,0.2074997425079346,-0.01640009880065918,0.499500036239624,-0.0392000675201416
ABL1,0.8419808607835044,0.5936812620896568,0.1957806807297935,0.02038090045635599,0.004481242253230988,0.1709813338059654,-0.06831844036395651,0.2055806380051841,0.422480509831356,-0.09236915294940573,0.4996804457444419,-0.2638188142042885,0.3708810072678794,0.2206811171311607,0.1404809218186607,-1.401019169734074,0.06328098590557474,0.1676806669968833,-0.04011924450214011,0.3202304106492271,0.008631632878230988,-0.1346188325148354,-1.735669209406925,0.1628808241624107,0.1640805464524497,0.3626813154954185,-0.01321895305926901,-0.06761939709003073,0.3083810072678794,-0.1678190964918862,0.05868046100323099,-1.017918660090519,-0.02521999065692526,0.1008309584397544,0.4036807280320396,0.134180949284481,0.03368084247295755,0.1260804396409263,0.06858055408184427,0.3890809279221763,-0.3038187760573159,-0.8641196030836831,-1.300719334528996,0.2583808165330161,-0.5500193375807534,-0.2561188477736245,0.005781100346492707,0.02108089740459818,-0.76671893780048,0.1335810881394615,-1.216519429133488,0.2799805861253013,-0.01051910106952292,-0.0614195603590737,0.4008807402390708,-0.005419804499698699,-0.02641875927264792,-0.3757191437941323,-0.07101924602801901,0.07408039386455911,-0.5634184617262612,-0.1672697800856362,-0.04321868603046042,0.4902810316819419,0.04398052509014505,-0.3734188813429604,-0.03331954662616354,-0.4007187623244057,-0.09151942913348776,-0.3903189439039956,-0.3887186784010659,0.6731805067795982,-0.05351932232196432,-0.9038191575270424,0.2472810011643638,-0.8983193177443276,0.3803805571336021,-0.8819756507873535,0.1382489204406738,0.4908995628356934,-0.2866056306021552,0.8431188719613214,1.076969351087298,1.125219549451556,1.109819616590228,-0.1847303254263739,1.078520025525775,-0.09323099681309266,-0.3478811127798895,0.6757700102669855,-0.5575311524527411,-0.2867811066763739,0.1297001838684082,-0.007400035858154297,-0.01730012893676758,-0.3080496788024902,0.05639982223510742,0.3932003974914551
ACAA1,-0.1284695405226488,-0.7572694558363695,0.249680445744441,0.1977805357712965,-0.1242194909315844,-0.4925194520216722,-0.2408195275526781,0.244480536534236,0.228979991032527,0.4777306776780348,-0.7099691170912523,0.6995310049790602,-0.6812191743117113,-0.2083197373610277,-0.2770190972548265,-0.6516195077162523,-0.2370692033034105,0.5051807623643141,-0.2699194688063402,-0.6846195000868578,0.2339805823106031,0.1722306471604567,-1.545019699976995,-0.5186191338759203,0.2135805350083571,-0.3501692551832933,-0.6370192307692308,-0.5847192544203539,-0.03526933376605701,-0.5460191506605883,-0.31501920406635,-1.215219094203069,0.4611806135911207,-0.5312195557814379,-0.505519463465764,0.7115806799668531,-0.305319382594182,0.5692810278672438,-0.5344191331129808,-0.2670694131117601,-0.1443191308241625,-0.1374693650465746,-0.1617193955641527,0.1180805426377516,-0.2106190461378832,0.7639302473801832,-0.01766927425677967,-0.9077192086439867,0.1771806936997633,-0.4292193192702074,-0.2569194573622484,-0.2340193528395433,0.02068083102886487,-0.2761193055372972,0.6046804648179274,0.5882806044358473,0.7701806288499098,0.458380625798152,-0.04231889431293201,-0.5118194359999437,0.4700807791489821,0.6536807280320387,-0.2924195069533129,-0.4818192261915941,-0.1535192269545336,0.221080706669734,-0.3055692452650804,0.4719800215501051,-0.3503194588881273,-0.5348191994887133,-0.2455192345839281,0.4622301321763258,0.07198087985698987,-0.0979200143080492,-0.253169609950139,0.4755310278672438,-0.2405191201430101,1.474024295806885,-0.2836751937866211,0.8674001693725586,0.01400368554251497,-0.1568465914045065,0.1518534932817728,-0.5786467279706686,-0.3946462358747214,-0.2605963434491843,-0.1600466455732077,-0.2846966470990866,-0.01627165930611785,0.3636035237993509,0.8875035558428079,1.313553742000034,0.02097511291503906,0.1684751510620117,-0.05762481689453125,1.001474857330322,0.1746249198913574,0.02547502517700195
ACAT2,0.2212072885953464,0.2542578257047214,0.4877077616178074,0.6270081079923191,0.5053078211270847,0.6948076761685886,0.4825073755704441,0.6418081797086277,0.5685078180753269,0.3526073969327488,-0.6106923543489895,-0.5226920568026028,0.3427073038541355,2.171657232137827,0.5447575128995457,0.4752079523526707,0.4998079813443699,0.4548079050504246,0.5621077097379246,0.9156080759488621,0.2760082758389988,0.3643080271207371,0.7153078592740574,0.4007078684293308,0.399607328268198,-0.5608924352205715,0.19770779976478,0.4779078043424168,2.1712080515348,0.7725073374234714,0.6381079233609714,1.237507490011362,-0.4595921956575832,-0.09644255271324731,-0.3555925809420071,0.5268074549161472,0.8553072489224949,0.3485075510465183,0.3698078669034519,1.109607366415171,1.143707898946909,0.6246077097379246,1.071007398458628,0.9051081217252293,0.4632078684293308,-0.3776925527132473,0.7493073023282566,0.4818073786222019,-0.6878918134249172,0.01750817665686988,0.3536583460294285,0.4466072596036472,0.5490576303922214,0.5725075281583347,0.5129076517545261,0.428507474752573,0.4219080484830418,-0.1835921727693997,0.616007474752573,0.5109077967130222,3.796707776876596,1.049808172079233,0.9330078638516941,2.87220731148353,0.8558079279386082,0.9252077616178074,2.621107724996714,0.6755081690274753,0.5941082514249363,0.8067080057584324,0.4882074869596043,-0.07179245581993676,0.6694075144254246,0.09550729164710425,0.3708073175870457,0.82740750679603,-0.1822918378389797,-0.0159754753112793,-0.7697253227233887,0.1226248741149902,0.2387698037283759,0.377369199480329,0.1643946511404852,-0.911531175885882,-0.5708310263497491,-0.472779955182757,-0.8503300803048273,-0.08448001316615539,-0.2644307272774835,-0.2506806509835382,0.1456196648733954,-0.01558085850306945,-0.1182498931884766,-0.1744499206542969,-0.117950439453125,-0.3386497497558594,-0.2896499633789062,-0.2246503829956055
